Ptid	Gene1	Gene2	Gene3	Gene4	Gene5
PT642	2.472474098	2.480070114	2.626844883	2.863323927	2.671463013
PT324	2.472474098	2.480070114	2.626844883	2.863323927	7.45689
PT100	2.472474098	2.480070114	2.626844883	2.863323927	2.671463013
PT193	2.501315117	4.105865002	5.363946915	2.645134926	2.757236958
PT395	2.546153069	2.604584932	2.300358057	2.313220024	2.249108076
PT429	2.564178944	3.04293108	2.619009018	2.94482708	2.498044014
PT600	2.566576958	2.611427069	2.640130997	2.725895882	2.4224751
PT485	2.572648048	2.491492033	2.47283411	2.576509953	2.497987032
PT125	2.622082949	2.825782061	2.833492041	2.626092911	3.204869986
PT54	2.632937908	2.818478107	3.030719995	2.67732501	6.673874855
PT527	2.667531013	2.956593037	7.341869831	2.935133934	2.787143946
PT322	2.667531013	2.956593037	7.341869831	2.935133934	2.787143946
PT118	2.667531013	2.956593037	7.341869831	2.935133934	2.787143946
PT181	2.695692062	3.012118101	2.853126049	3.058079004	3.020804882
PT359	2.698545933	2.937717915	2.486076117	2.661961079	2.702641964
PT481	2.702713966	2.844289064	3.937438011	2.891588926	2.640921116
PT548	2.71964407	2.58427906	2.360722065	2.673340082	3.577737093
PT464	2.71964407	2.58427906	2.360722065	2.673340082	3.577737093
PT431	2.71964407	2.58427906	2.360722065	2.673340082	3.577737093
PT441	2.732650995	2.544650078	2.779234886	2.752434015	2.494839907
PT98	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT78	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT70	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT63	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT615	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT586	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT538	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT488	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT404	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT195	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT187	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT130	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT102	2.74634409	2.539501905	2.939426899	2.754245996	2.475874901
PT52	2.782197952	2.85968709	2.795351982	3.107136011	2.887505054
PT560	2.796931982	2.990596056	3.059137106	2.777451038	2.685291052
PT343	2.826756001	2.87887311	3.332180977	2.683876991	3.976289988
PT475	2.848371983	2.837548018	2.857633114	2.938496113	2.985411882
PT520	2.863360882	2.862550974	6.550020218	3.400368929	3.227229118
PT535	2.870682955	2.418869019	2.459115982	2.679948092	2.620114088
PT659	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT64	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT6	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT591	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT566	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT544	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT502	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT417	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT337	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT32	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT23	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT197	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT141	2.892935991	2.954489946	2.68849802	2.700638056	6.789954185
PT306	2.951836109	2.862694979	2.758042097	3.089777946	2.792464018
PT61	2.955811977	8.62296772	8.397713661	2.791501045	2.660770893
PT3	2.955811977	8.62296772	8.397713661	2.791501045	2.660770893
PT242	2.955811977	8.62296772	8.397713661	2.791501045	2.660770893
PT2	2.955811977	8.62296772	8.397713661	2.791501045	2.660770893
PT168	2.996105909	2.963762045	2.843997002	3.145571947	3.23743391
PT474	2.996812105	3.394299984	3.2043221	3.271600008	3.228962898
PT617	3.007956982	2.76048708	2.86766696	2.477150917	2.647059917
PT68	3.03533411	2.659895897	2.675843954	2.785902977	2.722857952
PT448	3.03533411	2.659895897	2.675843954	2.785902977	2.722857952
PT44	3.03533411	2.659895897	2.675843954	2.785902977	2.722857952
PT109	3.03533411	2.659895897	2.675843954	2.785902977	2.722857952
PT456	3.040591002	2.656316042	2.600492001	2.939151049	2.909830093
PT353	3.041882992	4.301592827	5.569279194	4.431903839	2.523762941
PT413	3.043618917	3.446903944	3.276252985	3.240883112	3.561522007
PT43	3.060317039	3.205688	3.089436054	3.285631895	3.118120909
PT33	3.14366293	3.212213993	4.458384991	3.183331966	2.980341911
PT471	3.157865047	3.815254927	3.850735903	3.400005102	3.260169029
PT432	3.157865047	3.815254927	3.850735903	3.400005102	3.260169029
PT119	3.157865047	3.815254927	3.850735903	3.400005102	3.260169029
PT536	3.179747105	3.63568306	3.519412041	3.207999945	3.240190029
PT212	3.183572054	3.359453917	3.335143089	3.030776978	3.124298096
PT87	3.197043896	2.997189999	3.434582949	3.548408031	4.843181133
PT514	3.208209038	3.40519309	3.323096037	3.186999083	3.193520069
PT534	3.221085072	4.358767986	3.106637955	3.179438114	3.346638918
PT568	3.22459507	3.44658494	3.33465004	3.583333969	3.168248892
PT204	3.227474928	7.494384766	3.802845001	7.618181229	6.425488949
PT177	3.238859892	3.189501047	3.064145088	3.314888	3.320869923
PT287	3.239202976	3.191718102	3.300318003	3.353328943	6.184436798
PT369	3.315288067	3.426824093	3.686547995	3.293730021	3.180022955
PT462	3.318114042	3.347084999	3.172523022	3.496300936	3.221731901
PT606	3.318483114	3.497973919	3.326298952	3.428033113	8.562389
PT305	3.33814311	3.266144037	3.338542938	3.428033113	3.41159296
PT342	3.346683979	3.407175064	3.872947931	3.480988026	3.408915997
PT131	3.355951071	3.330077887	3.983083963	3.664923906	3.562382936
PT357	3.36826992	3.174263954	3.704478979	3.715058088	3.221731901
PT434	3.452975035	3.107028961	3.345313072	3.171739101	3.016993999
PT576	3.484993935	3.494537115	3.602113962	3.693325043	3.182683945
PT467	3.484993935	3.494537115	3.602113962	3.693325043	3.182683945
PT465	3.484993935	3.494537115	3.602113962	3.693325043	3.182683945
PT639	3.489119053	3.335738897	3.574604988	3.389070988	3.528562069
PT307	3.499294996	3.428854942	3.557821035	3.573074102	3.288645029
PT393	3.539262056	3.496361017	3.466085911	3.679718018	3.280683994
PT160	3.567606926	3.717119932	3.691505909	3.67969799	3.724256039
PT73	3.609622002	3.794670105	3.296437025	3.428033113	13.38794
PT271	3.652509928	3.825103998	3.686979055	3.839076996	3.893244028
PT57	3.666696072	2.911166906	2.988472939	4.264498234	14.659784
PT537	3.73102808	4.408145905	4.481613159	3.974746943	3.292579889
PT26	3.732594013	5.275730133	6.247999191	3.302194118	5.710449219
